Samples,Power
9210000.000000,-57
9212000.000000,-10
9214000.000000,145
9216000.000000,64
9218000.000000,-12
9220000.000000,-117
9222000.000000,-59
9224000.000000,21
9226000.000000,70
9228000.000000,70
9230000.000000,-99
9232000.000000,-74
9234000.000000,-13
9236000.000000,120
9238000.000000,0
9240000.000000,-94
9242000.000000,-26
9244000.000000,90
9246000.000000,69
9248000.000000,-131
9250000.000000,-79
9252000.000000,40
9254000.000000,154
9256000.000000,-5
9258000.000000,-98
9260000.000000,-103
9262000.000000,6
9264000.000000,165
9266000.000000,113
9268000.000000,-66
9270000.000000,-205
9272000.000000,18
9274000.000000,149
9276000.000000,104
9278000.000000,-104
9280000.000000,-107
9282000.000000,4
9284000.000000,78
9286000.000000,54
9288000.000000,-64
9290000.000000,-14
9292000.000000,0
9294000.000000,52
9296000.000000,-8
9298000.000000,-35
9300000.000000,-57
9302000.000000,10
9304000.000000,40
9306000.000000,-56
9308000.000000,-13
9310000.000000,76
9312000.000000,115
9314000.000000,-94
9316000.000000,-139
9318000.000000,-19
9320000.000000,102
9322000.000000,63
9324000.000000,-57
9326000.000000,-12
9328000.000000,9
9330000.000000,58
9332000.000000,-16
9334000.000000,2
9336000.000000,-25
9338000.000000,0
9340000.000000,59
9342000.000000,17
9344000.000000,-24
9346000.000000,3
9348000.000000,109
9350000.000000,-8
9352000.000000,-102
9354000.000000,-91
9356000.000000,87
9358000.000000,104
9360000.000000,29
9362000.000000,-31
9364000.000000,-69
9366000.000000,-7
9368000.000000,-8
9370000.000000,64
9372000.000000,-22
9374000.000000,-44
9376000.000000,-37
9378000.000000,40
9380000.000000,66
9382000.000000,-30
9384000.000000,-4
